node_id,lon,lat
403,11.5886005,48.1295878
404,11.5894603,48.1307877
405,11.5910481,48.1276214
406,11.5906501,48.1280680
407,11.5907374,48.1281156
408,11.5911579,48.1281975
409,11.5915264,48.1282480
410,11.5921489,48.1283807
411,11.5923808,48.1295401
412,11.5900974,48.1311600
413,11.5895662,48.1315724
414,11.5862046,48.1289505
415,11.5849865,48.1281214
416,11.5854090,48.1276034
417,11.5852285,48.1268315
418,11.5688324,48.1265303
419,11.5693165,48.1279988
420,11.5697693,48.1285204
421,11.5710500,48.1296093
422,11.5719178,48.1301621
423,11.5846453,48.1277644
424,11.5859182,48.1287435
425,11.5870456,48.1286945
426,11.5584013,48.1295309
427,11.5585032,48.1331350
428,11.5584791,48.1324807
429,11.5580593,48.1327417
430,11.5582107,48.1325860
431,11.5580734,48.1328894
432,11.5581924,48.1330199
433,11.5877965,48.1313352
434,11.5878090,48.1314246
435,11.5873994,48.1315077
436,11.5875819,48.1312170
437,11.5627868,48.1320312
438,11.5650381,48.1326774
439,11.5637956,48.1334176
440,11.5644904,48.1334905
441,11.5654565,48.1335928
442,11.5655770,48.1337707
443,11.5635694,48.1342145
444,11.5597737,48.1329571
445,11.5531883,48.1351705
446,11.5557939,48.1348976
447,11.5804782,48.1275766
448,11.5668006,48.1322566
449,11.5671745,48.1322629
450,11.5675625,48.1319086
451,11.5691158,48.1311610
452,11.5708062,48.1309915
453,11.5709097,48.1310463
454,11.5673314,48.1308208
455,11.5662815,48.1309107
456,11.5667248,48.1320736
457,11.5672742,48.1299539
458,11.5674393,48.1297306
459,11.5679750,48.1294556
460,11.5681676,48.1291387
461,11.5682388,48.1289651
462,11.5696766,48.1290502
463,11.5697372,48.1293465
464,11.5700109,48.1301180
465,11.5717620,48.1290450
466,11.5703633,48.1283309
467,11.5699616,48.1262758
468,11.5724893,48.1265921
469,11.5693055,48.1261056
470,11.5694126,48.1261231
471,11.5705246,48.1427680
472,11.5674729,48.1412212
473,11.5739675,48.1440937
474,11.5747282,48.1446623
475,11.5743811,48.1439144
476,11.5766212,48.1436568
477,11.5767010,48.1438276
478,11.5768734,48.1442157
479,11.5771087,48.1447806
480,11.5774646,48.1436704
481,11.5775867,48.1439182
482,11.5773663,48.1434518
483,11.5683861,48.1401434
484,11.5600334,48.1374272
485,11.5532191,48.1364034
486,11.5532572,48.1375166
487,11.5525210,48.1366676
488,11.5516178,48.1361015
489,11.5683324,48.1334980
490,11.5694066,48.1335183
491,11.5694009,48.1338345
492,11.5763997,48.1344358
493,11.5792851,48.1339267
494,11.5727338,48.1362551
495,11.5995325,48.1308278
496,11.5992953,48.1311210
497,11.5986701,48.1315521
498,11.5978347,48.1321147
499,11.5981916,48.1299429
500,11.5973058,48.1293523
501,11.5972277,48.1305991
502,11.5941012,48.1309484
503,11.5955889,48.1302692
504,11.5999087,48.1323054
505,11.5961572,48.1330700
506,11.5963726,48.1322905
507,11.5945784,48.1322799
508,11.5945696,48.1330275
509,11.6023531,48.1361508
510,11.5985021,48.1328495
511,11.5992194,48.1326152
512,11.5973395,48.1332939
513,11.5996928,48.1333258
514,11.5875386,48.1305542
515,11.5891550,48.1373582
516,11.5670729,48.1266587
517,11.5669573,48.1259738
518,11.5674161,48.1231507
519,11.5710479,48.1250706
520,11.5734487,48.1263428
521,11.5713160,48.1405197
522,11.5719205,48.1414922
523,11.5732644,48.1418451
524,11.5705373,48.1406472
525,11.5719182,48.1405029
526,11.5717782,48.1403108
527,11.5744609,48.1416120
528,11.5748040,48.1422798
529,11.5814958,48.1391385
530,11.5802997,48.1393855
531,11.5818728,48.1396341
532,11.5791971,48.1360346
533,11.5789474,48.1350746
534,11.5802296,48.1350005
535,11.5773788,48.1344254
536,11.5799869,48.1365495
537,11.5787365,48.1372089
538,11.5782863,48.1374214
539,11.5782273,48.1362019
540,11.5798036,48.1358817
541,11.5805076,48.1368092
542,11.5790801,48.1370750
543,11.5699710,48.1309293
544,11.5678846,48.1330601
545,11.5712067,48.1373718
546,11.5716333,48.1370558
547,11.5661374,48.1378599
548,11.5664679,48.1362895
549,11.5666600,48.1363093
550,11.5665573,48.1363117
551,11.5668323,48.1384606
552,11.5717038,48.1369978
553,11.5719108,48.1368392
554,11.5723948,48.1371037
555,11.5725102,48.1353274
556,11.5736535,48.1364102
557,11.5507107,48.1358614
558,11.5498820,48.1360456
559,11.5523821,48.1349248
560,11.5964321,48.1287674
561,11.5957957,48.1283365
562,11.5964148,48.1283400
563,11.5959190,48.1282826
