node_id,lon,lat,elevation
182,11.5555148,48.1323948,524.0
183,11.5557955,48.1300071,527.0
184,11.5557539,48.1286059,528.0
185,11.5575209,48.1298862,526.0
186,11.5575750,48.1303809,526.0
187,11.5560183,48.1315359,524.0
188,11.5560657,48.1324073,524.0
189,11.5584882,48.1328136,525.0
190,11.5558655,48.1363843,523.0
191,11.5491113,48.1361210,524.0
192,11.5511485,48.1356799,522.0
193,11.5630722,48.1317303,523.0
194,11.5636376,48.1312559,523.0
195,11.5627618,48.1303380,525.0
196,11.5559368,48.1283779,528.0
197,11.5582471,48.1262950,525.0
198,11.5666196,48.1334364,524.0
199,11.5523059,48.1285949,524.0
200,11.5490016,48.1361264,524.0
201,11.5524991,48.1348332,523.0
202,11.5517694,48.1353464,510.0
203,11.5529503,48.1343277,523.0
204,11.5586169,48.1363488,524.0
205,11.5611225,48.1381490,532.0
206,11.5651342,48.1362538,524.0
207,11.5675141,48.1336666,524.0
208,11.5689929,48.1337772,522.0
209,11.5702018,48.1341241,522.0
210,11.5740557,48.1337873,518.0
211,11.5672121,48.1404001,526.0
212,11.5692763,48.1410141,521.0
213,11.5738129,48.1437737,529.0
214,11.5678829,48.1426860,521.0
215,11.5653310,48.1434309,528.0
216,11.5647493,48.1425268,528.0
217,11.5617938,48.1426448,524.0
218,11.5601976,48.1449297,520.0
219,11.5733343,48.1435212,524.0
220,11.5786179,48.1448299,519.0
221,11.5696111,48.1444894,522.0
222,11.5788404,48.1452656,519.0
223,11.5692943,48.1443372,522.0
224,11.5686510,48.1446165,520.0
225,11.5689891,48.1450248,522.0
226,11.5696601,48.1448211,522.0
227,11.5604310,48.1521822,520.0
228,11.5686070,48.1531849,517.0
229,11.5726259,48.1547379,520.0
230,11.5596666,48.1499550,519.0
231,11.5680381,48.1542923,519.0
232,11.5567119,48.1506705,522.0
233,11.5561887,48.1419864,531.0
234,11.5516597,48.1390368,526.0
235,11.5557095,48.1480635,524.0
236,11.5753851,48.1422891,528.0
237,11.5745213,48.1408165,529.0
238,11.5750136,48.1414390,521.0
239,11.5812563,48.1415125,518.0
240,11.5825027,48.1403831,518.0
241,11.5829731,48.1403445,518.0
242,11.5821583,48.1386991,521.0
243,11.5619330,48.1285535,526.0
244,11.5642766,48.1280966,527.0
245,11.5753402,48.1194881,518.0
246,11.5584277,48.1291031,526.0
247,11.5634633,48.1271432,527.0
248,11.5749958,48.1352964,518.0
249,11.5734009,48.1270776,516.0
250,11.5743952,48.1339949,518.0
251,11.5748968,48.1334099,518.0
252,11.5729458,48.1399746,529.0
253,11.5723580,48.1392684,531.0
254,11.5691435,48.1400170,521.0
255,11.5727503,48.1340357,519.0
256,11.5660554,48.1539228,520.0
257,11.5751781,48.1539980,518.0
258,11.5738274,48.1544041,518.0
259,11.5733706,48.1536989,518.0
260,11.5762589,48.1550139,517.0
261,11.5778277,48.1531258,514.0
262,11.5780304,48.1496775,519.0
263,11.5799805,48.1526610,518.0
264,11.5657524,48.1531626,520.0
265,11.5683285,48.1524255,517.0
266,11.5638441,48.1459623,525.0
267,11.5627419,48.1441849,518.0
268,11.5594881,48.1428140,521.0
269,11.5546115,48.1465276,525.0
270,11.5580628,48.1455347,524.0
271,11.5628845,48.1490475,519.0
272,11.5877404,48.1241032,538.0
273,11.5889901,48.1248465,538.0
274,11.5861455,48.1257466,530.0
275,11.5825171,48.1269391,517.0
276,11.5801340,48.1235920,516.0
277,11.5795723,48.1227481,521.0
278,11.5759996,48.1204223,518.0
279,11.5787943,48.1333855,526.0
280,11.5802451,48.1322930,523.0
281,11.5767013,48.1476155,520.0
282,11.5823273,48.1527323,517.0
283,11.5822880,48.1522075,517.0
284,11.5823507,48.1525513,517.0
285,11.5819050,48.1522837,517.0
286,11.5558549,48.1440212,524.0
287,11.5818238,48.1435296,514.0
288,11.5783681,48.1442751,519.0
289,11.5825727,48.1444857,517.0
290,11.5841182,48.1441737,514.0
291,11.5833051,48.1384795,521.0
292,11.5653047,48.1375698,527.0
293,11.5689180,48.1450046,522.0
294,11.5692086,48.1450429,522.0
295,11.5695437,48.1449386,522.0
296,11.5696984,48.1447102,522.0
297,11.5695432,48.1444337,522.0
298,11.5691230,48.1443295,522.0
299,11.5687673,48.1444563,522.0
300,11.5686375,48.1446791,520.0
301,11.5690762,48.1409408,521.0
302,11.5595575,48.1451220,520.0
303,11.5811000,48.1376213,524.0
304,11.5806830,48.1368879,520.0
305,11.5814249,48.1369250,521.0
306,11.5816504,48.1368109,521.0
307,11.5831115,48.1358724,521.0
308,11.5815748,48.1375712,521.0
309,11.5817287,48.1387829,521.0
310,11.5782012,48.1401349,522.0
311,11.5932107,48.1364449,517.0
312,11.5942603,48.1355805,526.0
